index,file_names,data_lens
0,sample0,400848
1,sample1,54264
2,sample2,38400
3,sample3,65536
4,sample4,74936
5,sample5,308271
6,sample6,333680
7,sample7,39936
8,sample8,35272
9,sample9,43850
10,sample10,537432
11,sample11,125904
12,sample12,83456
13,sample13,140800
14,sample14,80896
15,sample15,149736
16,sample16,26112
17,sample17,35603
18,sample18,53704
19,sample19,2109728
20,sample20,53888
21,sample21,209920
22,sample22,43568
23,sample23,106328
24,sample24,39424
25,sample25,80896
26,sample26,387152
27,sample27,1471512
28,sample28,59392
29,sample29,214528
30,sample30,29136
31,sample31,1588224
32,sample32,59904
33,sample33,100336
34,sample34,41368
35,sample35,166048
36,sample36,384280
37,sample37,117760
38,sample38,63448
39,sample39,78848
40,sample40,47744
41,sample41,58552
42,sample42,235464
43,sample43,205824
44,sample44,1132320
45,sample45,49328
46,sample46,394200
47,sample47,182736
48,sample48,21504
49,sample49,132096
50,sample50,67768
51,sample51,52528
52,sample52,46608
53,sample53,57344
54,sample54,279552
55,sample55,30720
56,sample56,41984
57,sample57,19456
58,sample58,23040
59,sample59,30704
60,sample60,36864
61,sample61,57272
62,sample62,151480
63,sample63,1187152
64,sample64,102160
65,sample65,38400
66,sample66,9360
67,sample67,57344
68,sample68,69120
69,sample69,57352
70,sample70,118784
71,sample71,84344
72,sample72,97792
73,sample73,126328
74,sample74,59904
75,sample75,41984
76,sample76,45528
77,sample77,36864
78,sample78,193072
79,sample79,186368
80,sample80,65744
81,sample81,50264
82,sample82,68064
83,sample83,132096
84,sample84,54448
85,sample85,659648
86,sample86,82944
87,sample87,59960
88,sample88,758784
89,sample89,62464
90,sample90,151040
91,sample91,31696
92,sample92,54272
93,sample93,145328
94,sample94,53816
95,sample95,31728
96,sample96,599232
97,sample97,34304
98,sample98,411072
99,sample99,78936
100,sample100,78848
101,sample101,58368
102,sample102,224448
103,sample103,57856
104,sample104,69752
105,sample105,1858400
106,sample106,36864
107,sample107,106496
108,sample108,337776
109,sample109,283136
110,sample110,180736
111,sample111,55360
112,sample112,67576
113,sample113,27136
114,sample114,74768
115,sample115,9728
116,sample116,96768
117,sample117,365888
118,sample118,68080
119,sample119,23680
120,sample120,59456
121,sample121,41472
122,sample122,139264
123,sample123,46424
124,sample124,65536
125,sample125,1352896
126,sample126,83456
127,sample127,50152
128,sample128,26112
129,sample129,66560
130,sample130,57768
131,sample131,13312
132,sample132,88960
133,sample133,96336
134,sample134,166048
135,sample135,50048
136,sample136,89656
137,sample137,319488
138,sample138,1034016
139,sample139,1346648
140,sample140,107520
141,sample141,88200
142,sample142,21504
143,sample143,142848
144,sample144,49712
145,sample145,35480
146,sample146,636416
147,sample147,208384
148,sample148,550128
149,sample149,109568
150,sample150,79872
151,sample151,40128
152,sample152,55808
153,sample153,102336
154,sample154,62224
155,sample155,397824
156,sample156,243696
